wine ID,fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality,quality index,cost group
ID774,6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5,1,moderately expensive
ID775,9.1,0.27,0.45,10.6,0.035,28,124,0.997,3.2,0.46,10.4,9,2,very expensive
ID776,6.4,0.225,0.48,2.2,0.115,29,104,0.9918,3.24,0.58,12.1,6,1,moderately expensive
ID777,8.3,0.14,0.45,1.5,0.039,18,98,0.99215,3.02,0.56,11,6,1,moderately expensive
ID778,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,1,moderately expensive
ID779,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7,1,somewhat expensive
ID780,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8,2,somewhat expensive
ID781,6,0.395,0,1.4,0.042,7,55,0.99135,3.37,0.38,11.2,4,0,moderately expensive
ID782,7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6,1,moderately expensive
ID783,6.9,0.22,0.37,15,0.053,59,178,0.9992,3.37,0.82,9.5,7,1,somewhat expensive
ID784,8.1,0.17,0.44,14.1,0.053,43,145,1.0006,3.28,0.75,8.8,8,2,somewhat expensive
ID785,7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9,5,1,moderately expensive
ID786,7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,1,moderately expensive
ID787,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1,moderately expensive
ID788,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1,moderately expensive
ID789,5.8,0.34,0.16,7,0.037,26,116,0.9949,3.46,0.45,10,7,1,somewhat expensive
ID790,7.6,0.3,0.27,10.6,0.039,31,119,0.99815,3.27,0.3,9.3,6,1,moderately expensive
ID791,7.7,0.34,0.28,11,0.04,31,117,0.99815,3.27,0.29,9.2,6,1,moderately expensive
ID792,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,1,somewhat expensive
ID793,6.4,0.46,0.08,4.9,0.046,34,144,0.99445,3.1,0.56,10,5,1,moderately expensive
ID794,5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7,1,somewhat expensive
ID795,7.4,0.32,0.27,1.4,0.049,38,173,0.99335,3.03,0.52,9.3,5,1,moderately expensive
ID796,7.2,0.31,0.26,7.3,0.05,37,157,0.99625,3.09,0.43,9,5,1,moderately expensive
ID797,7.8,0.42,0.23,8.8,0.054,42,215,0.9971,3.02,0.58,9.2,6,1,moderately expensive
ID798,6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6,1,moderately expensive
ID799,5.4,0.18,0.24,4.8,0.041,30,113,0.99445,3.42,0.4,9.4,6,1,moderately expensive
ID800,6,0.18,0.31,1.4,0.036,14,75,0.99085,3.34,0.58,11.1,8,2,somewhat expensive
ID801,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,1,moderately expensive
ID802,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,1,moderately expensive
ID803,6.8,0.39,0.35,11.6,0.044,57,220,0.99775,3.07,0.53,9.3,5,1,moderately expensive
ID804,6.6,0.21,0.31,11.4,0.039,46,165,0.99795,3.41,0.44,9.8,7,1,somewhat expensive
ID805,7.3,0.32,0.34,6.6,0.032,24,112,0.99505,3.22,0.46,9.8,6,1,moderately expensive
ID806,7.8,0.27,0.58,11.2,0.036,44,161,0.9977,3.06,0.41,8.9,6,1,moderately expensive
ID807,6.4,0.31,0.26,13.2,0.046,57,205,0.9975,3.17,0.41,9.6,5,1,moderately expensive
ID808,6.2,0.29,0.26,13.1,0.046,55,204,0.99745,3.16,0.41,9.6,6,1,moderately expensive
ID809,6,0.39,0.17,12,0.046,65,246,0.9976,3.15,0.38,9,6,1,moderately expensive
ID810,6.2,0.3,0.26,13.4,0.046,57,206,0.99775,3.17,0.43,9.5,6,1,moderately expensive
ID811,6,0.28,0.49,6.8,0.048,61,222,0.9953,3.19,0.47,9.3,5,1,moderately expensive
ID812,6,0.4,0.05,1.5,0.063,17,120,0.9932,3.21,0.56,9.2,6,1,moderately expensive
ID813,6.4,0.35,0.28,1.1,0.055,9,160,0.99405,3.42,0.5,9.1,7,1,somewhat expensive
ID814,6.5,0.26,0.32,16.5,0.045,44,166,1,3.38,0.46,9.5,6,1,moderately expensive
ID815,7.9,0.35,0.24,15.6,0.072,44,229,0.99785,3.03,0.59,10.5,6,1,moderately expensive
ID816,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,1,moderately expensive
ID817,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,1,moderately expensive
ID818,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,1,moderately expensive
ID819,6.2,0.3,0.17,2.8,0.04,24,125,0.9939,3.01,0.46,9,5,1,moderately expensive
ID820,6.6,0.56,0.22,8.9,0.034,27,133,0.99675,3.2,0.51,9.1,5,1,moderately expensive
ID821,6.6,0.36,0.29,1.6,0.021,24,85,0.98965,3.41,0.61,12.4,9,2,very expensive
ID822,7.3,0.6,0.2,10.2,0.071,28,212,0.9971,2.96,0.58,9.2,6,1,moderately expensive
ID823,6.8,0.18,0.21,5.4,0.053,34,104,0.99445,3.3,0.43,9.4,5,1,moderately expensive
ID824,6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6,1,moderately expensive
ID825,8.4,0.18,0.42,5.1,0.036,7,77,0.9939,3.16,0.52,11.7,5,1,moderately expensive
ID826,7,0.21,0.37,7.2,0.042,36,167,0.9958,3.26,0.56,9.8,6,1,moderately expensive
ID827,6.8,0.25,0.38,8.1,0.046,24,155,0.9956,3.33,0.59,10.2,6,1,moderately expensive
ID828,7.4,0.24,0.36,2,0.031,27,139,0.99055,3.28,0.48,12.5,9,2,very expensive
ID829,7.1,0.16,0.36,10.7,0.044,20,90,0.9959,3.16,0.44,10.9,7,1,somewhat expensive
ID830,7.1,0.16,0.36,1.2,0.043,21,90,0.9925,3.16,0.42,11,7,1,somewhat expensive
ID831,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,1,moderately expensive
ID832,7.4,0.17,0.4,5.5,0.037,34,161,0.9935,3.05,0.62,11.5,4,0,moderately expensive
ID833,7.3,0.3,0.34,2.7,0.044,34,108,0.99105,3.36,0.53,12.8,8,2,somewhat expensive
ID834,6.9,0.25,0.34,1.3,0.035,27,82,0.99045,3.18,0.44,12.2,6,1,moderately expensive
ID835,7.3,0.205,0.31,1.7,0.06,34,110,0.9963,3.72,0.69,10.5,6,1,moderately expensive
ID836,7.5,0.42,0.34,4.3,0.04,34,108,0.99155,3.14,0.45,12.8,8,2,somewhat expensive
ID837,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,2,somewhat expensive
ID838,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,2,somewhat expensive
ID839,7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8,2,somewhat expensive
ID840,7.5,0.34,0.35,6,0.034,12,126,0.9924,3.16,0.39,12,7,1,somewhat expensive
ID841,7.6,0.33,0.35,6.3,0.036,12,126,0.9924,3.16,0.39,12,7,1,somewhat expensive
ID842,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,1,somewhat expensive
ID843,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,1,somewhat expensive
ID844,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7,1,somewhat expensive
ID845,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,2,somewhat expensive
ID846,7.3,0.21,0.29,1.6,0.034,29,118,0.9917,3.3,0.5,11,8,2,somewhat expensive
ID847,6.6,0.22,0.37,15.4,0.035,62,153,0.99845,3.02,0.4,9.3,5,1,moderately expensive
ID848,9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5,1,moderately expensive
ID849,8.7,0.23,0.32,13.4,0.044,35,169,0.99975,3.12,0.47,8.8,7,1,somewhat expensive
ID850,6,0.2,0.24,1.8,0.03,30,105,0.9909,3.31,0.47,11.5,6,1,moderately expensive
ID851,6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7,1,somewhat expensive
ID852,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,1,moderately expensive
ID853,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,1,somewhat expensive
ID854,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,1,moderately expensive
ID855,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,1,somewhat expensive
ID856,7.4,0.2,0.35,2.1,0.038,30,116,0.9949,3.49,0.77,10.3,7,1,somewhat expensive
ID857,8.2,0.38,0.49,13.6,0.042,58,166,0.99855,3.1,0.54,9.4,5,1,moderately expensive
ID858,8.2,0.4,0.48,13.7,0.042,59,169,0.9986,3.1,0.52,9.4,5,1,moderately expensive
ID859,6.7,0.22,0.39,10.2,0.038,60,149,0.99725,3.17,0.54,10,7,1,somewhat expensive
ID860,6.6,0.3,0.3,4.8,0.17,60,166,0.9946,3.18,0.47,9.4,5,1,moderately expensive
ID861,8.1,0.27,0.35,1.7,0.03,38,103,0.99255,3.22,0.63,10.4,8,2,somewhat expensive
ID862,7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7,1,somewhat expensive
ID863,4.8,0.34,0,6.5,0.028,33,163,0.9939,3.36,0.61,9.9,6,1,moderately expensive
ID864,6.2,0.28,0.33,1.7,0.029,24,111,0.99,3.24,0.5,12.1,6,1,moderately expensive
ID865,4.8,0.33,0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5,1,moderately expensive
ID866,6.1,0.27,0.33,2.2,0.021,26,117,0.9886,3.12,0.3,12.5,6,1,moderately expensive
ID867,6.9,0.18,0.36,1.3,0.036,40,117,0.9934,3.27,0.95,9.5,7,1,somewhat expensive
ID868,7.8,0.18,0.46,12.6,0.042,41,143,1,3.24,0.76,8.5,8,2,somewhat expensive
ID869,7.3,0.28,0.42,14.4,0.04,49,173,0.9994,3.28,0.82,9,7,1,somewhat expensive
ID870,7.3,0.24,0.29,1.2,0.037,37,97,0.9926,3.19,0.7,10.1,6,1,moderately expensive
ID871,6,0.45,0.65,9.7,0.08,11,159,0.9956,3.04,0.48,9.4,5,1,moderately expensive
ID872,7.7,0.34,0.58,11.1,0.039,41,151,0.9978,3.06,0.49,8.6,5,1,moderately expensive
ID873,6.3,0.26,0.21,4,0.03,24,125,0.9915,3.06,0.34,10.7,6,1,moderately expensive
ID874,10.3,0.17,0.47,1.4,0.037,5,33,0.9939,2.89,0.28,9.6,3,0,cheap
ID875,7.7,0.15,0.29,1.3,0.029,10,64,0.9932,3.35,0.39,10.1,5,1,moderately expensive
ID876,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7,1,somewhat expensive
ID877,6.9,0.36,0.34,4.2,0.018,57,119,0.9898,3.28,0.36,12.7,9,2,very expensive
ID878,6,0.28,0.34,1.6,0.119,33,104,0.9921,3.19,0.38,10.2,6,1,moderately expensive
ID879,6.2,0.16,0.54,1.4,0.126,37,110,0.9932,3.23,0.37,8.9,6,1,moderately expensive
ID880,6.9,0.12,0.36,2.2,0.037,18,111,0.9919,3.41,0.82,11.9,8,2,somewhat expensive
ID881,7.1,0.21,0.32,2.2,0.037,28,141,0.993,3.2,0.57,10,7,1,somewhat expensive
ID882,8.8,0.36,0.44,1.9,0.04,9,121,0.9953,3.19,0.48,9.9,6,1,moderately expensive
ID883,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,1,moderately expensive
ID884,7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6,1,moderately expensive
ID885,6.8,0.23,0.29,12.2,0.035,38,236,0.9976,3.35,0.52,9.8,6,1,moderately expensive
ID886,6.1,0.34,0.27,2.6,0.024,20,105,0.9906,3.4,0.67,12.2,7,1,somewhat expensive
ID887,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,1,moderately expensive
ID888,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,1,somewhat expensive
ID889,7.3,0.26,0.31,1.6,0.04,39,173,0.9918,3.19,0.51,11.4,6,1,moderately expensive
ID890,6.5,0.3,0.32,2,0.044,34,90,0.99185,3.37,0.68,11,7,1,somewhat expensive
ID891,5,0.31,0,6.4,0.046,43,166,0.994,3.3,0.63,9.9,6,1,moderately expensive
ID892,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7,1,somewhat expensive
ID893,5.9,0.26,0.3,1,0.036,38,114,0.9928,3.58,0.48,9.4,5,1,moderately expensive
ID894,7,0.31,0.29,1.4,0.037,33,128,0.9896,3.12,0.36,12.2,7,1,somewhat expensive
ID895,5.8,0.26,0.18,1.2,0.031,40,114,0.9908,3.42,0.4,11,7,1,somewhat expensive
ID896,5.6,0.19,0.39,1.1,0.043,17,67,0.9918,3.23,0.53,10.3,6,1,moderately expensive
ID897,6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6,1,moderately expensive
ID898,7,0.29,0.26,1.6,0.044,12,87,0.9923,3.08,0.46,10.5,6,1,moderately expensive
ID899,6.6,0.26,0.29,1.4,0.039,13,67,0.9915,3.05,0.49,10.9,6,1,moderately expensive
ID900,6.8,0.4,0.28,8.5,0.047,52,242,0.9952,3.22,0.53,10.5,6,1,moderately expensive
ID901,6.6,0.2,0.38,7.9,0.052,30,145,0.9947,3.32,0.56,11,7,1,somewhat expensive
ID902,8,0.29,0.29,13.2,0.046,26,113,0.9983,3.25,0.37,9.7,6,1,moderately expensive
ID903,6.1,0.28,0.35,12.8,0.048,63,229,0.9975,3.08,0.4,8.9,5,1,moderately expensive
ID904,5.9,0.31,0.3,7.7,0.047,60,206,0.995,3.2,0.39,9.6,6,1,moderately expensive
ID905,6.9,0.21,0.28,2.4,0.056,49,159,0.9944,3.02,0.47,8.8,8,2,somewhat expensive
ID906,8.4,0.19,0.42,1.6,0.047,9,101,0.994,3.06,0.65,11.1,4,0,moderately expensive
ID907,8.3,0.27,0.45,1.3,0.048,8,72,0.9944,3.08,0.61,10.3,4,0,moderately expensive
ID908,7.1,0.25,0.39,2.1,0.036,30,124,0.9908,3.28,0.43,12.2,8,2,somewhat expensive
ID909,8,0.23,0.37,9.6,0.054,23,159,0.99795,3.32,0.47,9.8,4,0,moderately expensive
ID910,7.5,0.24,0.31,13,0.049,46,217,0.9985,3.08,0.53,8.8,5,1,moderately expensive
ID911,6.3,0.33,0.2,5.8,0.04,24,144,0.99425,3.15,0.63,9.9,5,1,moderately expensive
ID912,6.2,0.33,0.19,5.6,0.042,22,143,0.99425,3.15,0.63,9.9,5,1,moderately expensive
ID913,6.3,0.34,0.19,5.8,0.041,22,145,0.9943,3.15,0.63,9.9,5,1,moderately expensive
ID914,5.8,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,1,moderately expensive
ID915,8,0.32,0.26,1.2,0.05,11.5,88,0.9946,3.24,0.37,9.5,4,0,moderately expensive
ID916,5.6,0.29,0.05,0.8,0.038,11,30,0.9924,3.36,0.35,9.2,5,1,moderately expensive
ID917,7.4,0.13,0.39,4.7,0.042,36,137,0.995,3.36,0.56,10.3,7,1,somewhat expensive
ID918,7.7,0.3,0.32,1.6,0.037,23,124,0.9919,2.93,0.33,11,6,1,moderately expensive
ID919,7,0.24,0.34,1.4,0.031,27,107,0.99,3.06,0.39,11.9,6,1,moderately expensive
ID920,8.6,0.18,0.4,1.1,0.04,20,107,0.9923,2.94,0.32,10.2,7,1,somewhat expensive
ID921,7,0.11,0.32,4.6,0.057,59,144,0.9956,3.55,0.44,9.4,7,1,somewhat expensive
ID922,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6,1,moderately expensive
ID923,7.7,0.32,0.62,10.6,0.036,56,153,0.9978,3.13,0.44,8.9,6,1,moderately expensive
ID924,6.5,0.26,0.27,12.9,0.044,69,215,0.9967,3.17,0.43,10,6,1,moderately expensive
ID925,7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8,2,somewhat expensive
ID926,6.3,0.27,0.23,2.9,0.047,13,100,0.9936,3.28,0.43,9.8,5,1,moderately expensive
ID927,5.4,0.595,0.1,2.8,0.042,26,80,0.9932,3.36,0.38,9.3,5,1,moderately expensive
ID928,6.7,0.25,0.33,2.9,0.057,52,173,0.9934,3.02,0.48,9.5,7,1,somewhat expensive
ID929,6.5,0.25,0.35,12,0.055,47,179,0.998,3.58,0.47,10,5,1,moderately expensive
ID930,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,1,moderately expensive
ID931,7.7,0.17,0.52,5.9,0.017,21,84,0.9929,3.14,0.4,11.9,7,1,somewhat expensive
ID932,6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5,1,moderately expensive
ID933,6.5,0.26,0.28,12.5,0.046,80,225,0.99685,3.18,0.41,10,6,1,moderately expensive
ID934,5.9,0.29,0.33,7.4,0.037,58,205,0.99495,3.26,0.41,9.6,5,1,moderately expensive
ID935,6.2,0.28,0.43,13,0.039,64,233,0.99745,3.08,0.38,8.9,5,1,moderately expensive
ID936,6.1,0.27,0.44,6.7,0.041,61,230,0.99505,3.12,0.4,8.9,5,1,moderately expensive
ID937,6.4,0.43,0.32,1.4,0.048,10,67,0.992,3.08,0.41,11.4,5,1,moderately expensive
ID938,6.1,0.36,0.58,15,0.044,42,115,0.9978,3.15,0.51,9,5,1,moderately expensive
ID939,6.2,0.35,0.29,7.3,0.044,56,244,0.9956,3.36,0.55,10,6,1,moderately expensive
ID940,7.7,0.24,0.29,15.3,0.044,39,194,0.9982,3.06,0.47,9.6,7,1,somewhat expensive
ID941,6.2,0.34,0.28,7.5,0.034,40,197,0.99485,3.14,0.6,9.7,5,1,moderately expensive
ID942,6.3,0.27,0.46,11.75,0.037,61,212,0.9971,3.25,0.53,9.5,6,1,moderately expensive
ID943,5.4,0.415,0.19,1.6,0.039,27,88,0.99265,3.54,0.41,10,7,1,somewhat expensive
ID944,6.9,0.48,0.36,3.5,0.03,31,135,0.9904,3.14,0.38,12.2,7,1,somewhat expensive
ID945,6.5,0.18,0.33,8,0.051,16,131,0.9965,3.28,0.44,8.7,7,1,somewhat expensive
ID946,6.7,0.15,0.29,5,0.058,28,105,0.9946,3.52,0.44,10.2,7,1,somewhat expensive
ID947,8.2,0.345,1,18.2,0.047,55,205,0.99965,2.96,0.43,9.6,5,1,moderately expensive
ID948,8.5,0.16,0.35,1.6,0.039,24,147,0.9935,2.96,0.36,10,5,1,moderately expensive
ID949,6.8,0.2,0.25,3.2,0.048,10,57,0.996,3.36,0.52,9.5,4,0,moderately expensive
ID950,7.3,0.25,0.39,6.4,0.034,8,84,0.9942,3.18,0.46,11.5,5,1,moderately expensive
ID951,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,1,moderately expensive
ID952,7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6,1,moderately expensive
ID953,6.5,0.17,0.33,1.4,0.028,14,99,0.9928,3.23,0.55,10.1,6,1,moderately expensive
ID954,8.2,0.23,0.37,1.3,0.042,39,117,0.9928,2.99,0.36,10,5,1,moderately expensive
ID955,7.6,0.22,0.34,9.7,0.035,26,143,0.9965,3.08,0.49,9.8,6,1,moderately expensive
ID956,7.6,0.345,0.26,1.9,0.043,15,134,0.9936,3.08,0.38,9.5,5,1,moderately expensive
ID957,7.5,0.32,0.26,1.8,0.042,13,133,0.9938,3.07,0.38,9.5,5,1,moderately expensive
ID958,6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7,1,somewhat expensive
ID959,6.6,0.2,0.32,1.1,0.039,25,78,0.9926,3.39,0.54,10.2,7,1,somewhat expensive
ID960,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,1,moderately expensive
ID961,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,1,moderately expensive
ID962,8,0.42,0.36,5,0.037,34,101,0.992,3.13,0.57,12.3,7,1,somewhat expensive
ID963,7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9,6,1,moderately expensive
ID964,6.1,0.19,0.25,4,0.023,23,112,0.9923,3.37,0.51,11.6,6,1,moderately expensive
ID965,5.9,0.26,0.21,12.5,0.034,36,152,0.9972,3.28,0.43,9.5,6,1,moderately expensive
ID966,8.3,0.23,0.43,3.2,0.035,14,101,0.9928,3.15,0.36,11.5,5,1,moderately expensive
ID967,6.5,0.34,0.28,1.8,0.041,43,188,0.9928,3.13,0.37,9.6,6,1,moderately expensive
ID968,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,1,moderately expensive
ID969,6.5,0.5,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,1,somewhat expensive
ID970,5.5,0.42,0.09,1.6,0.019,18,68,0.9906,3.33,0.51,11.4,7,1,somewhat expensive
ID971,5.1,0.42,0.01,1.5,0.017,25,102,0.9894,3.38,0.36,12.3,7,1,somewhat expensive
ID972,6,0.27,0.19,1.7,0.02,24,110,0.9898,3.32,0.47,12.6,7,1,somewhat expensive
ID973,6.8,0.22,0.35,17.5,0.039,38,153,0.9994,3.24,0.42,9,6,1,moderately expensive
ID974,6.5,0.5,0.33,1.9,0.028,23,93,0.991,3.34,0.7,12,7,1,somewhat expensive
ID975,7.1,0.13,0.38,1.8,0.046,14,114,0.9925,3.32,0.9,11.7,6,1,moderately expensive
ID976,7.6,0.3,0.25,4.3,0.054,22,111,0.9956,3.12,0.49,9.2,5,1,moderately expensive
ID977,6.6,0.13,0.3,4.9,0.058,47,131,0.9946,3.51,0.45,10.3,6,1,moderately expensive
ID978,6.5,0.14,0.33,7.6,0.05,53,189,0.9966,3.25,0.49,8.6,5,1,moderately expensive
ID979,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7,1,somewhat expensive
ID980,6,0.2,0.71,1.6,0.15,10,54,0.9927,3.12,0.47,9.8,5,1,moderately expensive
ID981,6,0.19,0.71,1.5,0.152,9,55,0.9927,3.12,0.46,9.8,6,1,moderately expensive
ID982,7.7,0.28,0.33,6.7,0.037,32,155,0.9951,3.39,0.62,10.7,7,1,somewhat expensive
ID983,5.1,0.39,0.21,1.7,0.027,15,72,0.9894,3.5,0.45,12.5,6,1,moderately expensive
ID984,5.7,0.36,0.34,4.2,0.026,21,77,0.9907,3.41,0.45,11.9,6,1,moderately expensive
ID985,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,1,moderately expensive
ID986,6,0.41,0.21,1.9,0.05,29,122,0.9928,3.42,0.52,10.5,6,1,moderately expensive
ID987,7.4,0.28,0.3,5.3,0.054,44,161,0.9941,3.12,0.48,10.3,6,1,moderately expensive
ID988,7.4,0.3,0.3,5.2,0.053,45,163,0.9941,3.12,0.45,10.3,6,1,moderately expensive
ID989,6.9,0.19,0.33,1.6,0.043,63,149,0.9925,3.44,0.52,10.8,5,1,moderately expensive
ID990,7.7,0.28,0.39,8.9,0.036,8,117,0.9935,3.06,0.38,12,7,1,somewhat expensive
ID991,8.6,0.16,0.38,3.4,0.04,41,143,0.9932,2.95,0.39,10.2,6,1,moderately expensive
ID992,8.2,0.26,0.44,1.3,0.046,7,69,0.9944,3.14,0.62,10.2,4,0,moderately expensive
ID993,6.5,0.25,0.27,15.2,0.049,75,217,0.9972,3.19,0.39,9.9,5,1,moderately expensive
ID994,7,0.24,0.18,1.3,0.046,9,62,0.994,3.38,0.47,10.1,4,0,moderately expensive
ID995,8.6,0.18,0.36,1.8,0.04,24,187,0.9956,3.25,0.55,9.5,6,1,moderately expensive
ID996,7.8,0.27,0.34,1.6,0.046,27,154,0.9927,3.05,0.45,10.5,6,1,moderately expensive
ID997,6,0.26,0.34,1.3,0.046,6,29,0.9924,3.29,0.63,10.4,5,1,moderately expensive
ID998,6.1,0.24,0.27,9.8,0.062,33,152,0.9966,3.31,0.47,9.5,6,1,moderately expensive
ID999,8,0.24,0.3,17.45,0.056,43,184,0.9997,3.05,0.5,9.2,6,1,moderately expensive
ID1000,7.6,0.21,0.6,2.1,0.046,47,165,0.9936,3.05,0.54,10.1,7,1,somewhat expensive
ID1001,8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7,1,somewhat expensive
ID1002,6.4,0.28,0.41,6.8,0.045,61,216,0.9952,3.09,0.46,9.4,5,1,moderately expensive
ID1003,6.4,0.28,0.43,7.1,0.045,60,221,0.9952,3.09,0.45,9.4,6,1,moderately expensive
ID1004,6.9,0.24,0.39,1.3,0.063,18,136,0.9928,3.31,0.48,10.4,7,1,somewhat expensive
ID1005,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,1,moderately expensive
ID1006,6.6,0.18,0.28,3.3,0.044,18,91,0.993,3.42,0.64,10.8,6,1,moderately expensive
ID1007,5.8,0.36,0.26,3.3,0.038,40,153,0.9911,3.34,0.55,11.3,6,1,moderately expensive
ID1008,5.1,0.52,0.06,2.7,0.052,30,79,0.9932,3.32,0.43,9.3,5,1,moderately expensive
ID1009,6.6,0.22,0.37,1.2,0.059,45,199,0.993,3.37,0.55,10.3,7,1,somewhat expensive
ID1010,8.3,0.15,0.39,1.3,0.055,32,146,0.993,3.08,0.39,10.5,6,1,moderately expensive
ID1011,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,1,moderately expensive
ID1012,7.7,0.16,0.41,1.7,0.048,60,173,0.9932,3.24,0.66,11.2,7,1,somewhat expensive
ID1013,8.3,0.16,0.48,1.7,0.057,31,98,0.9943,3.15,0.41,10.3,6,1,moderately expensive
ID1014,6.2,0.25,0.47,11.6,0.048,62,210,0.9968,3.19,0.5,9.5,5,1,moderately expensive
ID1015,6.1,0.16,0.27,12.6,0.064,63,162,0.9994,3.66,0.43,8.9,5,1,moderately expensive
ID1016,7.6,0.39,0.22,2.8,0.036,19,113,0.9926,3.03,0.29,10.2,5,1,moderately expensive
ID1017,6.8,0.37,0.47,11.2,0.071,44,136,0.9968,2.98,0.88,9.2,5,1,moderately expensive
ID1018,7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6,1,moderately expensive
ID1019,7.1,0.18,0.42,1.4,0.045,47,157,0.9916,2.95,0.31,10.5,6,1,moderately expensive
ID1020,8.3,0.14,0.26,1.5,0.049,56,189,0.9946,3.21,0.62,9.5,6,1,moderately expensive
ID1021,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,1,somewhat expensive
ID1022,8.6,0.2,0.42,1.5,0.041,35,125,0.9925,3.11,0.49,11.4,7,1,somewhat expensive
ID1023,6.8,0.19,0.32,7.05,0.019,54,188,0.9935,3.25,0.37,11.1,8,2,somewhat expensive
